Extrato Conta Corrente,,,
Conta,111111,,
Período,01/06/2026 a 01/07/2026,,
Saldo:,"779,33",,
,,,
Data Lançamento,Descrição,Valor,Saldo
05/06/2026,Compra no debito: Estabelecimento Fictício,"-19,46","823,35"
05/06/2026,Compra no debito: Estabelecimento Fictício,"-74,58","748,77"
05/06/2026,Pix enviado: Destinatário Fictício,-5,"743,77"
05/06/2026,Pix recebido: Remetente Fictício,100,"843,77"
05/06/2026,Compra no debito: Estabelecimento Fictício,"-15,14","828,63"
07/06/2026,Compra no debito: Estabelecimento Fictício,"-46,08","782,55"
07/06/2026,Pix recebido: Remetente Fictício,660,"1.442,55"
07/06/2026,Pix enviado: Destinatário Fictício,"-0,01","1.442,54"
07/06/2026,Pix enviado: Destinatário Fictício,-25,"1.417,54"
07/06/2026,Compra no debito: Estabelecimento Fictício,"-39,9","1.377,64"
07/06/2026,Estorno: Estorno,"25,2","1.402,84"
07/06/2026,Compra no debito: Estabelecimento Fictício,"-28,99","1.373,85"
07/06/2026,Compra no debito: Estabelecimento Fictício,"-25,2","1.348,65"
08/06/2026,Pix enviado: Destinatário Fictício,-435,"913,65"
08/06/2026,Pix recebido: Remetente Fictício,"15,3","928,95"
08/06/2026,Pix recebido: Remetente Fictício,"15,3","944,25"
09/06/2026,Pix enviado: Destinatário Fictício,-26,"918,25"
09/06/2026,Compra no debito: Estabelecimento Fictício,-3,"915,25"
14/06/2026,Compra no debito: Estabelecimento Fictício,"-22,37","892,88"
16/06/2026,Pix enviado: Destinatário Fictício,-8,"884,88"
16/06/2026,Compra no debito: Estabelecimento Fictício,-11,"873,88"
17/06/2026,Pix enviado: Destinatário Fictício,-400,"473,88"
17/06/2026,Pix recebido: Remetente Fictício,150,"623,88"
20/06/2026,Pix recebido: Remetente Fictício,"6,52","630,4"
20/06/2026,Pix recebido: Remetente Fictício,20,"650,4"
20/06/2026,Pix enviado: Destinatário Fictício,"-70,04","580,36"
20/06/2026,Pix recebido: Remetente Fictício,14,"594,36"
21/06/2026,Compra no debito: Estabelecimento Fictício,"-13,2","581,16"
22/06/2026,Pix enviado: Destinatário Fictício,"-54,5","526,66"
22/06/2026,Pix enviado: Destinatário Fictício,"-24,9","501,76"
22/06/2026,Pix enviado: Destinatário Fictício,"-139,9","361,86"
22/06/2026,Transferencia recebida: Remetente Fictício,700,"1.061,86"
27/06/2026,Pix enviado: Destinatário Fictício,"-230,78","831,08"
27/06/2026,Pix recebido: Remetente Fictício,"27,22","858,3"
27/06/2026,Pix recebido: Remetente Fictício,"27,23","885,53"
27/06/2026,Pix recebido: Remetente Fictício,27,"912,53"
27/06/2026,Pix recebido: Remetente Fictício,"27,22","939,75"
27/06/2026,Pix recebido: Remetente Fictício,"27,25",967
27/06/2026,Pix recebido: Remetente Fictício,27,994
27/06/2026,Pix recebido: Remetente Fictício,"27,23","1.021,23"
01/07/2026,Compra no debito: Estabelecimento Fictício,-4,"1.017,23"
01/07/2026,Compra no debito: Estabelecimento Fictício,"-36,3","980,93"
01/07/2026,Compra no debito: Estabelecimento Fictício,"-3,8","977,13"
01/07/2026,Compra no debito: Estabelecimento Fictício,-31,"946,13"
