Extrato Conta Corrente,,,
Conta,111111,,
Período,01/08/2026 a 31/08/2026,,
Saldo:,"1.000,00",,
,,,
Data Lançamento,Descrição,Valor,Saldo
01/08/2026,SALARIO EMPRESA XYZ,"4.500,00","5.500,00"
02/08/2026,UBER *TRIP SAO PAULO,"-25,90","5.474,10"
03/08/2026,IFOOD *RESTAURANTE SAO PAULO,"-54,30","5.419,80"
05/08/2026,MERCADO EXTRA COMPRAS,"-350,00","5.069,80"
08/08/2026,PIX ENVIADO - FARMACIA DROGASIL,"-80,00","4.989,80"
10/08/2026,NETFLIX.COM SAO PAULO,"-55,90","4.933,90"
12/08/2026,POSTO IPIRANGA GASOLINA,"-150,00","4.783,90"
15/08/2026,RESTAURANTE OUTBACK,"-120,50","4.663,40"
16/08/2026,PIX RECEBIDO - JOAO AMIGO,"150,00","4.813,40"
18/08/2026,TRANSFERENCIA RECEBIDA - CLIENTE,"300,00","5.113,40"
20/08/2026,ESTACIONAMENTO SHOPPING,"-20,00","5.093,40"
25/08/2026,PAGAMENTO FATURA CARTAO,"-1.500,00","3.593,40"
30/08/2026,UBER *EATS,"-35,00","3.558,40"
